id	provided_identifier
1672409	oai:orbis.library.yale.edu:3294449
1672410	oai:orbis.library.yale.edu:3294500
1672411	oai:orbis.library.yale.edu:3294511
1672412	oai:orbis.library.yale.edu:3294517
1672413	oai:orbis.library.yale.edu:3294518
1672414	oai:orbis.library.yale.edu:3294537
1672415	oai:orbis.library.yale.edu:3294558
1672416	oai:orbis.library.yale.edu:3294593
1672417	oai:orbis.library.yale.edu:3294624
1672418	oai:orbis.library.yale.edu:3294639
1672419	oai:orbis.library.yale.edu:3279269
1672420	oai:orbis.library.yale.edu:3295251
1672421	oai:orbis.library.yale.edu:3295279
1672422	oai:orbis.library.yale.edu:3303389
1672423	oai:orbis.library.yale.edu:3296306
1672424	oai:orbis.library.yale.edu:3296325
1672425	oai:orbis.library.yale.edu:3281114
1672426	oai:orbis.library.yale.edu:3296515
1672427	oai:orbis.library.yale.edu:3296516
1672428	oai:orbis.library.yale.edu:3296519
1672429	oai:orbis.library.yale.edu:3296554
1672430	oai:orbis.library.yale.edu:3296660
1672431	oai:orbis.library.yale.edu:3296673
1672432	oai:orbis.library.yale.edu:3296676
1672433	oai:orbis.library.yale.edu:3296683
1672434	oai:orbis.library.yale.edu:3296692
1672435	oai:orbis.library.yale.edu:3281924
1672436	oai:orbis.library.yale.edu:3297028
1672437	oai:orbis.library.yale.edu:3297056
1672438	oai:orbis.library.yale.edu:3297084
1672439	oai:orbis.library.yale.edu:3297125
1672440	oai:orbis.library.yale.edu:3297367
1672441	oai:orbis.library.yale.edu:3305127
1672442	oai:orbis.library.yale.edu:3305144
1672443	oai:orbis.library.yale.edu:3283039
1672444	oai:orbis.library.yale.edu:3283046
1672445	oai:orbis.library.yale.edu:3283077
1672446	oai:orbis.library.yale.edu:1246089
1672447	oai:orbis.library.yale.edu:1281475
1672448	oai:orbis.library.yale.edu:6219549
1672449	oai:orbis.library.yale.edu:6232981
1672450	oai:orbis.library.yale.edu:6228308
1672451	oai:orbis.library.yale.edu:6220709
1672452	oai:orbis.library.yale.edu:1243613
1672453	oai:orbis.library.yale.edu:1242833
1672454	oai:orbis.library.yale.edu:6225836
1672455	oai:orbis.library.yale.edu:1242829
1672456	oai:orbis.library.yale.edu:6094780
1672457	oai:orbis.library.yale.edu:1252905
1672458	oai:orbis.library.yale.edu:1841887
1672459	oai:orbis.library.yale.edu:2765977
1672460	oai:orbis.library.yale.edu:6461199
1672461	oai:orbis.library.yale.edu:6458334
1672462	oai:orbis.library.yale.edu:20327
1672463	oai:orbis.library.yale.edu:6570648
1672464	oai:orbis.library.yale.edu:6554888
1672465	oai:orbis.library.yale.edu:6515392
1672466	oai:orbis.library.yale.edu:3314752
1672467	oai:orbis.library.yale.edu:3335918
1672468	oai:orbis.library.yale.edu:3335941
1672469	oai:orbis.library.yale.edu:3335978
1672470	oai:orbis.library.yale.edu:3322541
1672472	oai:orbis.library.yale.edu:3322607
1672473	oai:orbis.library.yale.edu:3322620
1672474	oai:orbis.library.yale.edu:3322693
1672475	oai:orbis.library.yale.edu:3336552
1672476	oai:orbis.library.yale.edu:3336558
1672477	oai:orbis.library.yale.edu:3336578
1672478	oai:orbis.library.yale.edu:3337712
1672479	oai:orbis.library.yale.edu:3337800
1672480	oai:orbis.library.yale.edu:3309188
1672481	oai:orbis.library.yale.edu:3323356
1672482	oai:orbis.library.yale.edu:3323360
1672483	oai:orbis.library.yale.edu:3323380
1672484	oai:orbis.library.yale.edu:3309768
1672485	oai:orbis.library.yale.edu:3309878
1672486	oai:orbis.library.yale.edu:3317067
1672487	oai:orbis.library.yale.edu:3317082
1672488	oai:orbis.library.yale.edu:3317111
3755323	oai:orbis.library.yale.edu:11266354
3798954	oai:orbis.library.yale.edu:11416653
1672490	oai:orbis.library.yale.edu:3317127
1672491	oai:orbis.library.yale.edu:3317135
1672492	oai:orbis.library.yale.edu:3331520
1672494	oai:orbis.library.yale.edu:3331583
1672495	oai:orbis.library.yale.edu:3331621
1672496	oai:orbis.library.yale.edu:3309959
1672497	oai:orbis.library.yale.edu:3333735
1672498	oai:orbis.library.yale.edu:3333758
1672499	oai:orbis.library.yale.edu:3333768
1672500	oai:orbis.library.yale.edu:3319537
1672501	oai:orbis.library.yale.edu:3319680
1672502	oai:orbis.library.yale.edu:3319738
1672503	oai:orbis.library.yale.edu:3319747
1672504	oai:orbis.library.yale.edu:3319768
1672505	oai:orbis.library.yale.edu:3334353
1672506	oai:orbis.library.yale.edu:3334356
1672508	oai:orbis.library.yale.edu:3334382
1672509	oai:orbis.library.yale.edu:3334383
1672510	oai:orbis.library.yale.edu:3334389
1672511	oai:orbis.library.yale.edu:3334554
1672512	oai:orbis.library.yale.edu:3321475
1672513	oai:orbis.library.yale.edu:3321522
1672514	oai:orbis.library.yale.edu:3345953
1672515	oai:orbis.library.yale.edu:3345960
1672516	oai:orbis.library.yale.edu:3345967
1672517	oai:orbis.library.yale.edu:3367316
1672518	oai:orbis.library.yale.edu:3338416
1672519	oai:orbis.library.yale.edu:3346712
1672520	oai:orbis.library.yale.edu:3339608
1672521	oai:orbis.library.yale.edu:3340200
1672524	oai:orbis.library.yale.edu:3349319
1672525	oai:orbis.library.yale.edu:3349340
1672526	oai:orbis.library.yale.edu:3356489
1672527	oai:orbis.library.yale.edu:3356523
1672528	oai:orbis.library.yale.edu:3363839
1672529	oai:orbis.library.yale.edu:3349789
1672530	oai:orbis.library.yale.edu:3349793
1672532	oai:orbis.library.yale.edu:3342629
1672533	oai:orbis.library.yale.edu:3342643
1672534	oai:orbis.library.yale.edu:3342663
1672535	oai:orbis.library.yale.edu:3343946
1672536	oai:orbis.library.yale.edu:3343956
